iter	Passed	Remaining
195	2453	10064
196	2465	10049
197	2476	10032
198	2487	10013
199	2499	9998
200	2511	9983
201	2523	9969
202	2535	9953
203	2546	9938
204	2558	9923
205	2570	9907
206	2581	9890
207	2593	9873
208	2604	9857
209	2616	9842
210	2628	9827
211	2639	9811
212	2651	9796
213	2663	9781
214	2674	9765
215	2686	9749
216	2697	9733
217	2709	9719
218	2721	9705
219	2732	9687
220	2744	9672
221	2755	9658
222	2767	9644
223	2779	9629
224	2791	9613
225	2803	9602
226	2815	9588
227	2827	9573
228	2838	9557
229	2849	9541
230	2862	9528
231	2874	9515
232	2886	9500
233	2897	9486
234	2909	9471
235	2920	9456
236	2933	9442
237	2945	9430
238	2957	9418
239	2970	9406
240	2982	9394
241	2995	9381
242	3007	9369
243	3019	9355
244	3030	9340
245	3042	9325
246	3054	9310
247	3065	9296
248	3078	9284
249	3089	9269
250	3101	9255
251	3113	9240
252	3124	9225
253	3136	9212
254	3147	9195
255	3159	9182
256	3170	9166
257	3182	9154
258	3194	9140
259	3206	9124
260	3217	9110
261	3229	9097
262	3241	9084
263	3253	9071
264	3265	9057
265	3277	9044
266	3289	9029
267	3301	9017
268	3313	9003
269	3324	8989
270	3336	8976
271	3348	8962
272	3360	8948
273	3371	8934
274	3384	8922
275	3397	8911
276	3409	8898
277	3421	8884
278	3432	8871
279	3444	8857
280	3456	8843
281	3467	8829
282	3479	8816
283	3492	8806
284	3505	8795
285	3518	8785
286	3532	8775
287	3545	8764
288	3558	8754
289	3571	8744
290	3585	8734
291	3598	8725
292	3612	8716
293	3625	8705
294	3637	8693
295	3650	8683
296	3665	8675
297	3678	8666
298	3690	8653
299	3702	8639
300	3714	8626
301	3726	8612
302	3738	8598
303	3749	8585
304	3761	8571
305	3773	8558
306	3785	8544
307	3796	8530
308	3808	8515
309	3819	8502
310	3831	8489
311	3843	8476
312	3856	8464
313	3867	8450
314	3879	8436
315	3891	8423
316	3903	8410
317	3915	8396
318	3926	8382
319	3938	8368
320	3950	8356
321	3962	8343
322	3978	8338
323	3991	8327
324	4003	8315
325	4015	8301
326	4027	8288
327	4039	8276
328	4051	8262
329	4063	8249
330	4074	8235
331	4086	8221
332	4098	8209
333	4109	8195
334	4121	8182
335	4133	8168
336	4145	8154
337	4156	8140
338	4167	8125
339	4178	8111
340	4190	8097
341	4202	8085
342	4213	8070
343	4224	8056
344	4235	8041
345	4247	8027
346	4259	8016
347	4272	8005
348	4285	7994
349	4298	7983
350	4311	7971
351	4324	7960
352	4337	7949
353	4350	7939
354	4363	7928
355	4376	7917
356	4389	7906
357	4403	7896
358	4416	7885
359	4429	7874
360	4442	7864
361	4457	7855
362	4468	7841
363	4480	7828
364	4492	7815
365	4504	7802
366	4515	7788
367	4527	7774
368	4538	7761
369	4550	7747
370	4561	7734
371	4573	7720
372	4585	7707
373	4596	7694
374	4609	7681
375	4621	7669
376	4632	7655
377	4644	7642
378	4656	7628
379	4667	7615
380	4679	7602
381	4690	7588
382	4701	7574
383	4713	7561
384	4725	7548
385	4737	7535
386	4749	7522
387	4760	7508
388	4772	7495
389	4784	7483
390	4796	7470
391	4808	7458
392	4820	7444
393	4831	7431
394	4843	7418
395	4855	7406
396	4868	7394
397	4880	7382
398	4893	7370
399	4906	7359
400	4919	7349
401	4932	7337
402	4945	7326
403	4957	7313
404	4970	7302
405	4983	7290
406	4999	7284
